Fighter,Elo Rating,Peak Elo,Record,Unbeaten Streak,Strength of Schedule
Lara Procopio,1185.9775278155819,1201.3375050947693,1-2-0,0,1209.4514442528205
Josh Hendricks,1185.961531680863,1200.0,0-1-0,0,1242.8094569565963
Ketlen Souza,1185.8976643947506,1217.932706368327,2-3-0,0,1209.1552007773332
Devin Clark,1185.8964417541686,1232.3290010978403,8-9-0,0,1210.3942743519447
Rory Markham,1185.8661284291113,1216.0,1-2-0,0,1218.9109240597716
Robert McDaniel,1185.7905218751803,1216.0,1-2-0,0,1218.9820503344201
Tony Sims,1185.7158434814264,1216.0,1-2-0,0,1217.8005757727558
Shannon Gugerty,1185.6746085395664,1216.3510798903637,2-3-0,0,1214.1970828611882
Henry Martinez,1185.6604665701643,1200.9686802766544,1-2-0,0,1207.3599138222837
Chico Camus,1185.6523293165146,1215.2651796743073,3-4-0,0,1209.7962817849264
Jason Brilz,1185.6080689752268,1231.2951614779718,3-4-0,0,1220.1889114981495
Cristian Quinonez,1185.5713998491665,1214.681746867783,1-2-0,0,1216.582944170478
Alexandre Ferreira,1185.5699340031447,1200.0,0-1-0,0,1234.2007251249972
Valmir Lazaro,1185.5656793737483,1201.5774744107455,1-2-0,0,1206.7913088615949
Carlo Pedersoli Jr.,1185.5580814981288,1215.3818253869028,1-2-0,0,1217.4587893831265
Stephanie Egger,1185.552709852739,1217.907193584125,3-4-0,0,1208.1993547170187
Andre Ewell,1185.5497534739743,1234.8182864986982,4-5-0,0,1216.5652825195523
Andrew Craig,1185.5470076910044,1233.8996450311145,3-4-0,0,1222.0355521024171
Anthony Macias,1185.5128477842748,1200.736306793522,1-2-0,0,1205.8706462824232
Michinori Tanaka,1185.5057457472801,1217.303745945763,2-3-0,0,1213.53347846325
Milton Vieira,1185.4699876410314,1202.3125307692876,0-1-1,0,1192.368153396761
Rudyard Moncayo,1185.4680244655758,1200.0,0-1-0,0,1231.967653396927
Cal Worsham,1185.4603940533623,1200.736306793522,1-2-0,0,1205.4901363919723
Paul Creighton,1185.4411903986056,1200.0,0-1-0,0,1231.380102689219
Greg Stott,1185.4365182309693,1200.0,0-1-0,0,1231.2778206909222
Azunna Anyanwu,1185.4358728782763,1200.0,0-1-0,0,1231.263693206478
Callan Potter,1185.4304957509503,1200.1589560571185,1-2-0,0,1204.8937759098355
Homer Moore,1185.4173390282588,1200.0,0-1-0,0,1230.858010535671
Ernest Chavez,1185.413803644761,1216.0,1-2-0,0,1215.8101632851988
Luke Zachrich,1185.4058751045457,1201.4737430741748,1-2-0,0,1205.5992342421591
Steve Vigneault,1185.4023024763223,1200.0,0-1-0,0,1230.5289410248042
Kevin Jousset,1185.3945170423765,1232.3587547573336,2-3-0,0,1219.3562892770146
Jerrod Sanders,1185.3926194661112,1200.8155699243591,1-2-0,0,1204.4960872842653
Hayato Sakurai,1185.3564077291794,1200.0,0-1-0,0,1229.5248862976155
Daniel Omielanczuk,1185.3472094139522,1232.8679975291848,4-5-0,0,1210.801569551194
Gilbert Urbina,1185.3424539772166,1200.7044329676094,1-2-0,0,1204.6242320544186
Aaron Rosa,1185.3195857165267,1200.6417952180298,1-2-0,0,1204.4058230906899
Ian Entwistle,1185.2745327231873,1200.736306793522,1-2-0,0,1204.1427152710148
Cindy Dandois,1185.2494410821168,1200.0,0-1-0,0,1227.1866203922098
John Gunderson,1185.2463590604295,1200.0338330211207,1-2-0,0,1203.4713599917131
John Maguire,1185.2355228039366,1232.132223432066,2-3-0,0,1219.1720831582097
Luiz Cane,1185.163593434625,1233.3801571228782,4-5-0,0,1210.2657466051473
Mitch Ramirez,1185.16250327448,1200.0,0-1-0,0,1225.2879987946428
Carlos Eduardo Rocha,1185.1244718893772,1215.263693206478,1-2-0,0,1213.0797308850658
Austin Springer,1185.0838422808902,1200.0,0-1-0,0,1223.5714346089037
Liliya Shakirova,1185.0455472916024,1200.0,0-1-0,0,1222.736170504203
Daichi Abe,1185.0006860192987,1215.9645321714725,1-2-0,0,1212.3341530035325
Rory Singer,1184.9925646865802,1216.0,1-2-0,0,1212.7671173707274
Yuki Kondo,1184.9660324646004,1216.0,1-2-0,0,1212.6730754231273
Ramon Taveras,1184.9523520361756,1216.0,1-2-0,0,1212.153200387168
Chris Barnett,1184.9357916055515,1200.3584516756978,2-3-0,0,1198.1017814403044
Brandon Melendez,1184.923761588936,1200.0,0-1-0,0,1220.0815608031885
Tom Gallicchio,1184.8887488455466,1200.0,0-1-0,0,1219.3188214139045
Mike Wessel,1184.8717128059454,1200.0,0-1-0,0,1218.9477654455877
Jake Hecht,1184.8564993090847,1217.3842748429295,1-2-0,0,1212.4779650707972
Jim Mullen,1184.8402858268737,1200.0,0-1-0,0,1218.2633781589573
Danyelle Wolf,1184.833187414057,1200.0,0-1-0,0,1218.1088153705555
Hugo Duarte,1184.8259934276211,1200.0,0-1-0,0,1217.9521788418474
Melinda Fabian,1184.8249730937039,1200.832429362574,0-1-1,0,1200.33525926478
Joao Roque,1184.822206195396,1200.0,0-1-0,0,1217.8697213878363
Nick Agallar,1184.8138086884094,1200.0,0-1-0,0,1217.686893959553
Igor Zinoviev,1184.8038229802178,1200.0,0-1-0,0,1217.4695015289756
Rob Broughton,1184.7949581794217,1216.0,1-2-0,0,1211.3706732541764
Bibulatov Magomed,1184.7718958258033,1216.705438319095,1-2-0,0,1211.4286898991986
Neil Wain,1184.771576542677,1200.0,0-1-0,0,1216.767577531447
Melton Bowen,1184.7701398146428,1200.0,0-1-0,0,1216.736306793522
Shamar Bailey,1184.7685103389379,1216.0,1-2-0,0,1211.141697844695
Yuki Sasaki,1184.766361150849,1200.0,0-1-0,0,1216.6540645416371
Askar Mozharov,1184.7609568263088,1200.0,0-1-0,0,1216.5364431794917
Clifford Starks,1184.743304580201,1216.0,1-2-0,0,1210.9777449458595
Yoshinori Horie,1184.7422354293992,1200.0,0-1-0,0,1216.1290141197032
Rainy Martinez,1184.736306793522,1200.0,0-1-0,0,1216.0
